Activity ID,Activity Type [attrib],Task Name,Due At,Completed At,Farm Name,Field Name,Field ID,Job Status
999015,ActualActivity,Furrow Irrigation,,2018-11-18T09:39:55.000-07:00,Delta Ranch,D-29,416134,COMPLETE-NO-DUE-DATE-SET
999087,ActualActivity,Disc Ends,,2018-11-12T11:14:53.552-07:00,Lone Tree,T-12,416015,COMPLETE-NO-DUE-DATE-SET
999089,ActualActivity,Rome Stubble  Disk,,2018-11-12T11:15:32.923-07:00,Lone Tree,T-12,416015,COMPLETE-NO-DUE-DATE-SET
999092,ActualActivity,Wheat Planting,,2018-11-12T11:17:06.713-07:00,Hereford,H-04,416100,COMPLETE-NO-DUE-DATE-SET
999102,ActualActivity,Pull Ditch,,2018-11-12T11:19:26.272-07:00,Hereford,H-27,416095,COMPLETE-NO-DUE-DATE-SET
999132,ActualActivity,Native Planting,,2018-11-12T12:14:09.431-07:00,Lone Tree,T-10 #02,457505,COMPLETE-NO-DUE-DATE-SET
999132,ActualActivity,Native Planting,,2018-11-12T12:14:09.431-07:00,Lone Tree,T-10 #03,457506,COMPLETE-NO-DUE-DATE-SET
999254,ActualActivity,Furrow Irrigation,,2018-11-18T13:56:06.000-07:00,Hereford,H-27,416095,COMPLETE-NO-DUE-DATE-SET
999258,ActualActivity,Furrow Irrigation,,2018-11-14T13:59:13.000-07:00,Hereford,H-20 #04,459879,COMPLETE-NO-DUE-DATE-SET
999258,ActualActivity,Furrow Irrigation,,2018-11-14T13:59:13.000-07:00,Hereford,H-20 #05,459880,COMPLETE-NO-DUE-DATE-SET
999379,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-10-15T16:04:00.000-06:00,Lone Tree,T-05,416047,COMPLETE-ON-TIME
999382,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-10-25T16:09:00.000-06:00,Pick Anderson,P-14W,416002,COMPLETE-ON-TIME
999384,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-10-27T16:10:00.000-06:00,Pick Anderson,P-14E,416003,COMPLETE-ON-TIME
999385,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-10-29T16:11:00.000-06:00,Pick Anderson,P-15,416036,COMPLETE-ON-TIME
999387,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-10-30T16:12:00.000-06:00,Pick Anderson,P-13W,416005,COMPLETE-ON-TIME
999388,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-10-30T16:12:00.000-06:00,Pick Anderson,P-13E,416006,COMPLETE-ON-TIME
999390,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-10-31T16:13:00.000-06:00,Pick Anderson,P-16W,416035,COMPLETE-ON-TIME
999391,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-11-02T16:15:00.000-06:00,Delta Ranch,D-05N,455870,COMPLETE-ON-TIME
999391,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-11-02T16:15:00.000-06:00,Delta Ranch,D-05S,455869,COMPLETE-ON-TIME
999393,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-11-03T16:16:00.000-06:00,Pick Anderson,P-18,416032,COMPLETE-ON-TIME
999394,ActualActivity,4-10-10 Application,2019-03-02T13:00:00.000-07:00,2018-11-07T16:17:00.000-07:00,Delta Ranch,D-02,416000,COMPLETE-ON-TIME
999395,ActualActivity,4-10-10 application,2019-04-01T13:00:00.000-06:00,2018-11-09T16:17:00.000-07:00,Delta Ranch,D-17,416118,COMPLETE-ON-TIME
999396,ActualActivity,4-10-10 application,2019-04-01T13:00:00.000-06:00,2018-11-12T16:18:50.061-07:00,Delta Ranch,D-12,416132,COMPLETE-ON-TIME
999397,ActualActivity,4-10-10 application,2019-04-01T13:00:00.000-06:00,2018-11-12T16:19:00.000-07:00,Delta Ranch,D-13,416061,COMPLETE-ON-TIME
999400,ActualActivity,Stubble disc,,2018-11-13T01:00:00.000-07:00,Lone Tree,T-12,416015,IN-PROGRESS-NO-DUE-DATE-SET
999404,ActualActivity,Wilcox Chisel- 7 Shank,,2018-11-12T10:00:00.000-07:00,Hereford,H-17,416083,COMPLETE-NO-DUE-DATE-SET
999412,ActualActivity,Wilcox Chisel- 7 Shank,,2018-11-12T16:31:25.000-07:00,Hereford,H-17,416083,COMPLETE-NO-DUE-DATE-SET
999416,ActualActivity,Optimizer,,2018-11-13T16:39:57.000-07:00,Hereford,H-02,416098,IN-PROGRESS-NO-DUE-DATE-SET
1000853,ActualActivity,Wheat Planting,,2018-11-14T11:31:19.000-07:00,Hereford,H-01,73277,COMPLETE-NO-DUE-DATE-SET
1000854,ActualActivity,Wheat Planting,,2018-11-15T14:39:24.000-07:00,Elbon,E-07,416010,COMPLETE-NO-DUE-DATE-SET
1000857,ActualActivity,Garlic Planting,,2018-11-17T08:00:02.000-07:00,Pick Anderson,P-14E,416003,COMPLETE-NO-DUE-DATE-SET
1001814,ActualActivity,Pre Emergent Application,,2018-11-14T17:00:31.000-07:00,Pick Anderson,P-14W,416002,COMPLETE-NO-DUE-DATE-SET
1001832,ActualActivity,Pre Irrigation- Sprinkler,,2018-11-21T15:18:07.000-07:00,Las Animas,L-05,415989,COMPLETE-NO-DUE-DATE-SET
1001834,ActualActivity,Pre Irrigation- Sprinkler,,2018-11-21T15:20:33.000-07:00,Las Animas,L-06,415990,COMPLETE-NO-DUE-DATE-SET
1001836,ActualActivity,Sprinkler Irrigation,,2018-11-16T15:22:09.000-07:00,Lone Tree,T-05,416047,COMPLETE-NO-DUE-DATE-SET
1001840,ActualActivity,Fumigation,,2018-11-14T17:30:26.000-07:00,Delta Ranch,D-06,416057,COMPLETE-NO-DUE-DATE-SET
1002658,ActualActivity,Furrow Irrigation,,2018-11-21T18:00:33.000-07:00,Hereford,H-01,73277,COMPLETE-NO-DUE-DATE-SET
1002692,ActualActivity,Drip  Tape Injection,,2018-11-15T17:30:08.000-07:00,Pick Anderson,P-02,416009,COMPLETE-NO-DUE-DATE-SET
1002737,ActualActivity,Sprinkler Irrigation,,2018-11-15T16:00:30.000-07:00,Pick Anderson,P-17,416033,COMPLETE-NO-DUE-DATE-SET
1003014,ActualActivity,Drip Tape Injection,,2018-11-19T17:00:15.000-07:00,Kreyenhagen,K-06,416123,COMPLETE-NO-DUE-DATE-SET
1003631,ActualActivity,Cilantro Harvest- 1st Cutting,,2018-11-21T12:11:46.000-07:00,Lone Tree,T-06,416048,COMPLETE-NO-DUE-DATE-SET
1003634,ActualActivity,Wheat Planting,,2018-11-16T19:12:49.000-07:00,Hereford,H-07,416104,COMPLETE-NO-DUE-DATE-SET
1003635,ActualActivity,Wheat Planting,,2018-11-17T17:14:12.000-07:00,Hereford,H-28,416096,COMPLETE-NO-DUE-DATE-SET
1003642,ActualActivity,Oats Planting,,2018-11-21T12:38:11.000-07:00,Las Animas,L-25,416075,COMPLETE-NO-DUE-DATE-SET
1003643,ActualActivity,Oats Planting,,2018-11-17T12:40:23.202-07:00,Las Animas,L-27,416076,COMPLETE-NO-DUE-DATE-SET
1003907,ActualActivity,Pre Emergent Application,,2018-11-17T10:00:41.000-07:00,Pick Anderson,P-14E,416003,COMPLETE-NO-DUE-DATE-SET
1004910,ActualActivity,Cilantro Harvest- 1st Cutting,,2018-11-19T14:00:00.000-07:00,Las Animas,L-07E-Center,427943,COMPLETE-NO-DUE-DATE-SET
1004918,ActualActivity,Weeding Crew 1st Pass,2019-06-15T13:00:00.000-06:00,2018-11-06T17:00:00.000-07:00,Las Animas,L-07E-South,427942,COMPLETE-ON-TIME
1005135,ActualActivity,Pre Emergent Application,,2018-11-16T10:00:14.000-07:00,Delta Ranch,D-01,416056,COMPLETE-NO-DUE-DATE-SET
1005137,ActualActivity,Pre Emergent Application,,2018-11-15T11:00:58.000-07:00,Delta Ranch,D-03,416055,COMPLETE-NO-DUE-DATE-SET
1005608,ActualActivity,Furrow Irrigation,,2018-11-22T08:00:20.000-07:00,Hereford,H-03,416099,COMPLETE-NO-DUE-DATE-SET
1005609,ActualActivity,Furrow Irrigation,,2018-11-30T09:31:50.000-07:00,Hereford,H-04,416100,COMPLETE-NO-DUE-DATE-SET
1006082,ActualActivity,Oats Planting,,2018-11-21T13:00:41.000-07:00,Lone Tree,T-12,416015,COMPLETE-NO-DUE-DATE-SET
1006573,ActualActivity,Pull Ditches,,2018-11-24T16:52:44.988-07:00,Lone Tree,T-12,416015,COMPLETE-NO-DUE-DATE-SET
1006574,ActualActivity,Furrow Irrigation,,2018-11-29T17:00:00.000-07:00,Lone Tree,T-12,416015,COMPLETE-NO-DUE-DATE-SET
1007541,ActualActivity,Pre Irrigation- Furrow,,2018-12-01T08:00:43.000-07:00,Lone Tree,T-09,416063,COMPLETE-NO-DUE-DATE-SET
1007547,ActualActivity,Pre Irrigation- Furrow,,2018-11-30T15:20:18.000-07:00,Lone Tree,T-02,416050,COMPLETE-NO-DUE-DATE-SET
1007550,ActualActivity,Pre Irrigation- Furrow,,2018-12-01T10:30:18.000-07:00,Lone Tree,T-07,416072,COMPLETE-NO-DUE-DATE-SET
1009640,ActualActivity,Pre Irrigation- Furrow,,2018-12-01T08:00:29.000-07:00,Lone Tree,T-08,416073,COMPLETE-NO-DUE-DATE-SET
1009972,ActualActivity,Furrow Irrigation,,2018-12-03T08:00:52.000-07:00,Hereford,H-28,416096,COMPLETE-NO-DUE-DATE-SET
1009997,ActualActivity,Pre Emergent Application,,2018-11-15T13:00:00.000-07:00,Lone Tree,T-01,416049,COMPLETE-NO-DUE-DATE-SET
