the_geom,property_name,name,area,stroke,stroke_width,marker_size,fill,fill_opacity,crop_name
0106000020E610000001000000010300000001000000050000002C0E677E35315EC0D200DE02098E4240E89FE06245315EC0F5D6C056098E4240E89FE06245315EC076C3B645998D4240A9FB00A436315EC06F9EEA909B8D42402C0E677E35315EC0D200DE02098E4240,Delta Ranch,D-18 Block  #8,7.7 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E610000001000000010300000001000000050000004CA60A4625315EC0F4F8BD4D7F8E4240A5BDC11726315EC02E39EE940E8E42400C022B8716315EC0E78C28ED0D8E42406C3EAE0D15315EC0AD4CF8A57E8E42404CA60A4625315EC0F4F8BD4D7F8E4240,Delta Ranch,D-19 Block #6,8.15176 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E61000000100000001030000000100000005000000897B2C7DE8305EC020D26F5F078E4240F4FDD478E9305EC04BE5ED08A78D424049D74CBED9305EC021EA3E00A98D4240BB7EC16ED8305EC0FCFB8C0B078E4240897B2C7DE8305EC020D26F5F078E4240,Delta Ranch,D-18 Block #2,6.88 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E61000000100000001030000000100000005000000A1F31ABB44315EC05F7B6649808E4240C5C9FD0E45315EC099BB96900F8E42402C0E677E35315EC0520FD1E80E8E4240D3F6AFAC34315EC018CFA0A17F8E4240A1F31ABB44315EC05F7B6649808E4240,Delta Ranch,D-19 Block #8,8.11 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E6100000010000000103000000010000000500000061E0B9F770315EC0605969520A8E42405ABBED4273315EC0AF08FEB7928D42404F58E20165315EC0840D4FAF948D4240E5D5390664315EC03C8386FE098E424061E0B9F770315EC0605969520A8E4240,Delta Ranch,D-18 Block #11,7.31 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E61000000100000001030000000100000005000000BBF2599E07315EC0677E3507088E4240130A117008315EC05A2F8672A28D4240D46531B1F9305EC0520ABABDA48D424069E388B5F8305EC044A852B3078E4240BBF2599E07315EC0677E3507088E4240,Delta Ranch,D-18 Block #4,6.77 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E61000000100000001030000000100000005000000AF94658863315EC0CAFD0E45818E4240E5D5390664315EC0033E3F8C108E42406FF085C954315EC0E0675C38108E424017D9CEF753315EC08351499D808E4240AF94658863315EC0CAFD0E45818E4240,Delta Ranch,D-19 Block #10,7.9 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E6100000010000000103000000010000000500000017D9CEF753315EC08351499D808E42406FF085C954315EC0E0675C38108E4240C5C9FD0E45315EC099BB96900F8E4240A1F31ABB44315EC05F7B6649808E424017D9CEF753315EC08351499D808E4240,Delta Ranch,D-19 Block #9,7.93 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E61000000100000001030000000100000005000000B0AC3429052D5EC091ED7C3F358E42401B2FDD24062D5EC0273108AC1C8E4240F4C308E1D12C5EC020EF552B138E42402905DD5ED22C5EC035B56CAD2F8E4240B0AC3429052D5EC091ED7C3F358E4240,Las Animas,L-07E-South,6.23262 acre,#FF0000,1,medium,#FF0000,0.8,Parsley - curly leaf
0106000020E6100000010000000103000000010000001C0000005319AD40C02E5EC0A4763BD2CB8F4240EBC7E4DCBF2E5EC0E850448EC68F4240EFC40F42BE2E5EC03C58733EC48F42409D0336ADB52E5EC03FD409AABE8F424088687407B12E5EC0704A713CBC8F4240797F1711A02E5EC0985BAD55B38F4240387726FA9D2E5EC0C3E82421B28F42403672FEA29B2E5EC0D5CD280AB28F4240DBDB6FE5932E5EC0CE3039DEB28F424055F303F48E2E5EC0DFBFBB8DB48F42407A6D57648B2E5EC0F58EC7CAB78F424094258458872E5EC0FFD64623BC8F42402BC65455832E5EC08751103CBE8F42408F25830E802E5EC034FBD91BBE8F42405EEB5A947C2E5EC0BE8B94B9BB8F4240D30228047A2E5EC029B850E0BA8F42401215687F792E5EC01085643BBE8F4240983E09A6792E5EC02BEAA3BEF28F42408C114726792E5EC0E11DA69E819042408A563022782E5EC0A5C7291904914240426F3B7E792E5EC0445BA5260791424034462DC57C2E5EC097B1DB4607914240D9426F75A92E5EC0860620BDFA9042408F2E1D10B42E5EC05ECB7564F690424095E8F207BF2E5EC084F9C839F390424086F745D7BF2E5EC04B4B3836B3904240F70BB06EC02E5EC04F33ACFBAA9042405319AD40C02E5EC0A4763BD2CB8F4240,Kreyenhagen,K-06,94.5 acre,#FF0000,1,medium,#FF0000,0.8,Tomato
